Evaluation Protocol,Representation,Model,Cleaning Method,Pearson r
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),XGBoost,Huber Robust (15%),0.4186700934974829
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),SVR,Huber Robust (15%),0.34398641773889216
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),MLP,Huber Robust (15%),0.3512867522174952
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Random Forest,Huber Robust (15%),0.42918579940311086
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),KNN,Huber Robust (15%),0.36902777802822134
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Ridge,Activity Cliffs,0.3091068943988459
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),XGBoost,Activity Cliffs,0.2725750646461675
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),SVR,Activity Cliffs,0.2751531667482705
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),MLP,Activity Cliffs,-0.375634963055825
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Random Forest,Activity Cliffs,0.26028416613841354
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),KNN,Activity Cliffs,0.2061283026812924
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Ridge,Ensemble Variance (15%),0.40546842740476957
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),XGBoost,Ensemble Variance (15%),0.41347523756775634
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),SVR,Ensemble Variance (15%),0.34961909198239205
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),MLP,Ensemble Variance (15%),0.36572670551202197
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),Random Forest,Ensemble Variance (15%),0.4198855882739541
10-Fold CV (Full Dataset),Fused (ProtT5 + ESM2),KNN,Ensemble Variance (15%),0.3366460450113743
Random Split (80/20),ProtT5-XL,Ridge,Raw Data,0.4731243128764564
Random Split (80/20),ProtT5-XL,XGBoost,Raw Data,0.4562059019217017
Random Split (80/20),ProtT5-XL,SVR,Raw Data,0.5255457458697712
Random Split (80/20),ProtT5-XL,MLP,Raw Data,0.30774532988174114
Random Split (80/20),ProtT5-XL,Random Forest,Raw Data,0.4721874364746818
Random Split (80/20),ProtT5-XL,KNN,Raw Data,0.41532288828274777
Random Split (80/20),ProtT5-XL,Ridge,Residual OOF (10%),0.5120397502391613
Random Split (80/20),ProtT5-XL,XGBoost,Residual OOF (10%),0.5204852208355011
Random Split (80/20),ProtT5-XL,SVR,Residual OOF (10%),0.5280739647643995
Random Split (80/20),ProtT5-XL,MLP,Residual OOF (10%),0.5037260378069126
Random Split (80/20),ProtT5-XL,Random Forest,Residual OOF (10%),0.49305163245997236
Random Split (80/20),ProtT5-XL,KNN,Residual OOF (10%),0.4280345245267189
Random Split (80/20),ProtT5-XL,Ridge,Residual OOF (15%),0.5051946407748117
Random Split (80/20),ProtT5-XL,XGBoost,Residual OOF (15%),0.4779102480809858
Random Split (80/20),ProtT5-XL,SVR,Residual OOF (15%),0.5154722582122502
Random Split (80/20),ProtT5-XL,MLP,Residual OOF (15%),0.47226352252608406
Random Split (80/20),ProtT5-XL,Random Forest,Residual OOF (15%),0.4791313434525411
Random Split (80/20),ProtT5-XL,KNN,Residual OOF (15%),0.42486708716302957
Random Split (80/20),ProtT5-XL,Ridge,Residual OOF (20%),0.4837989524287483
Random Split (80/20),ProtT5-XL,XGBoost,Residual OOF (20%),0.4805440243628926
Random Split (80/20),ProtT5-XL,SVR,Residual OOF (20%),0.4919632462981475
Random Split (80/20),ProtT5-XL,MLP,Residual OOF (20%),0.4645976587915142
Random Split (80/20),ProtT5-XL,Random Forest,Residual OOF (20%),0.4580584544004865
Random Split (80/20),ProtT5-XL,KNN,Residual OOF (20%),0.4309907891856547
Random Split (80/20),ProtT5-XL,Ridge,Huber Robust (15%),0.44979121636226976
Random Split (80/20),ProtT5-XL,XGBoost,Huber Robust (15%),0.4391496184239038
Random Split (80/20),ProtT5-XL,SVR,Huber Robust (15%),0.4974551861870616
Random Split (80/20),ProtT5-XL,MLP,Huber Robust (15%),0.4215597402266175
Random Split (80/20),ProtT5-XL,Random Forest,Huber Robust (15%),0.45293704318996636
Random Split (80/20),ProtT5-XL,KNN,Huber Robust (15%),0.4127873175429823
Random Split (80/20),ProtT5-XL,Ridge,Activity Cliffs,0.48634578628151287
Random Split (80/20),ProtT5-XL,XGBoost,Activity Cliffs,0.4818125107852471
Random Split (80/20),ProtT5-XL,SVR,Activity Cliffs,0.5258568029905295
Random Split (80/20),ProtT5-XL,MLP,Activity Cliffs,0.39961819642079344
Random Split (80/20),ProtT5-XL,Random Forest,Activity Cliffs,0.5105720295899232
Random Split (80/20),ProtT5-XL,KNN,Activity Cliffs,0.42998900483693053
Random Split (80/20),ProtT5-XL,Ridge,Ensemble Variance (15%),0.4432686701905917
Random Split (80/20),ProtT5-XL,XGBoost,Ensemble Variance (15%),0.4267225785663005
